id;name;field_type;required_field;max_value;min_value;default_value;value;unit;defect_type_id;region;version
1;长度;NUMBER;1;10;5;8;null;m;1;LG;0
2;宽度;NUMBER;1;20;10;15;null;mm;1;LG;0
3;深度;NUMBER;1;30;20;25;null;mm;1;LG;0
4;走向;TEXT;1;null;null;水平;null;null;1;null;0
5;是否渗水;TEXT;1;null;null;渗水;null;null;1;null;0
6;是否溶蚀;TEXT;0;null;null;未溶蚀;null;null;1;null;0
7;发展情况;TEXT;0;null;null;发展;null;null;1;null;0
8;缺陷状态;TEXT;1;null;null;未消除;null;null;1;null;0
9;渗透量;NUMBER;1;10;5;8;null;L/s;2;LG;0
10;颜色;TEXT;1;null;null;清澈;null;null;2;null;0
11;形态;TEXT;1;null;null;喷射状;null;null;2;null;0
12;是否析钙;TEXT;0;null;null;有钙析;null;null;2;null;0
13;颗粒物带出情况;TEXT;0;null;null;较多;null;null;2;null;0
14;发展情况;TEXT;0;null;null;无变化;null;null;2;null;0
15;缺陷状态;TEXT;1;null;null;消除中;null;null;2;null;0
16;最大坑深;NUMBER;1;10;5;8;null;m;3;LG;0
17;最大宽度;NUMBER;1;20;10;15;null;m;3;LG;0
18;最大长度;NUMBER;1;30;20;25;null;m;3;LG;0
19;周边坡比;NUMBER;1;40;30;35;null;m;3;LG;0
20;混凝土完整性;TEXT;0;null;null;较完整;null;null;3;null;0
21;水流流态;TEXT;0;null;null;漩涡;null;null;3;null;0
22;发展情况;TEXT;0;null;null;未发展;null;null;3;null;0
23;缺陷状态;TEXT;0;null;null;已消除;null;null;3;null;0
24;后缘高程;NUMBER;1;10;5;8;null;m;4;LG;0
25;前缘高程;NUMBER;1;20;10;15;null;m;4;LG;0
26;方量;NUMBER;1;30;20;25;null;m3;4;LG;0
27;滑坡类型;TEXT;1;null;null;推移式;null;null;4;null;0
28;滑体性质;TEXT;0;null;null;碎石块;null;null;4;null;0
29;主导因素;TEXT;0;null;null;自然因素;null;null;4;null;0
30;发展情况;TEXT;0;null;null;发展;null;null;4;null;0
31;缺陷状态;TEXT;0;null;null;未消除;null;null;4;null;0
32;崩塌体方量;NUMBER;1;10;5;8;null;m3;5;LG;0
33;崩塌类型;TEXT;1;null;null;倾倒式;null;null;5;null;0
34;崩塌性质;TEXT;1;null;null;土崩;null;null;5;null;0
35;主导因素;TEXT;0;null;null;人为因素;null;null;5;null;0
36;发展情况;TEXT;0;null;null;较稳定;null;null;5;null;0
37;缺陷状态;TEXT;0;null;null;消除中;null;null;5;null;0
38;沟口至主河道距离;NUMBER;1;10;5;8;null;m;6;LG;0
39;沟口巨石大小;NUMBER;1;20;10;15;null;m;6;LG;0
40;主沟纵坡;NUMBER;1;30;20;25;null;m;6;LG;0
41;补给区位置;TEXT;1;null;null;上游;null;null;6;null;0
42;易发程度;TEXT;0;null;null;中等;null;null;6;null;0
43;不良地质体规模;TEXT;0;null;null;大;null;null;6;null;0
44;发展情况;TEXT;0;null;null;未发展;null;null;6;null;0
45;缺陷状态;TEXT;0;null;null;已消除;null;null;6;null;0
46;面积;NUMBER;1;10;5;8;null;m2;7;LG;0
47;最大深度;NUMBER;1;20;10;15;null;m;7;LG;0
48;形态;TEXT;1;null;null;掉块;null;null;7;null;0
49;是否露筋;TEXT;0;null;null;未露筋;null;null;7;null;0
50;发展情况;TEXT;0;null;null;发展;null;null;7;null;0
51;缺陷状态;TEXT;0;null;null;未消除;null;null;7;null;0
52;面积;NUMBER;1;10;5;8;null;m2;8;LG;0
53;最大深度;NUMBER;1;20;10;15;null;m;8;LG;0
54;发展情况;TEXT;0;null;null;未发展;null;null;8;null;0
55;缺陷状态;TEXT;0;null;null;消除中;null;null;8;null;0
56;开合度;NUMBER;1;10;5;8;null;mm;9;LG;0
57;错动量;NUMBER;1;20;10;15;null;mm;9;LG;0
58;剪切量;NUMBER;1;30;20;25;null;mm;9;LG;0
59;是否渗水;TEXT;1;null;null;未渗水;null;null;9;null;0
60;是否析钙;TEXT;0;null;null;无析钙;null;null;9;null;0
61;止水效果;TEXT;0;null;null;有效;null;null;9;null;0
62;发展情况;TEXT;0;null;null;发展;null;null;9;null;0
63;缺陷状态;TEXT;0;null;null;已消除;null;null;9;null;0
64;破损长度;NUMBER;1;10;5;8;null;m;10;LG;0
65;是否淤堵;TEXT;1;null;null;未淤堵;null;null;10;null;0
66;发展情况;TEXT;0;null;null;未发展;null;null;10;null;0
67;缺陷状态;TEXT;0;null;null;未消除;null;null;10;null;0
68;排水量;NUMBER;1;10;5;8;null;L/s;11;LG;0
69;浑浊度;TEXT;1;null;null;清澈;null;null;11;null;0
70;通畅情况;TEXT;1;null;null;通畅;null;null;11;null;0
71;析出物情况;TEXT;0;null;null;无析出物;null;null;11;null;0
72;发展情况;TEXT;0;null;null;发展;null;null;11;null;0
73;缺陷状态;TEXT;0;null;null;消除中;null;null;11;null;0
74;错抬高度;NUMBER;1;10;5;8;null;mm;12;LG;0
75;错抬宽度;NUMBER;1;20;10;15;null;mm;12;LG;0
76;发展情况;TEXT;0;null;null;未发展;null;null;12;null;0
77;缺陷状态;TEXT;0;null;null;已消除;null;null;12;null;0
78;面积;NUMBER;1;10;5;8;null;mm;13;LG;0
79;最大深度;NUMBER;1;20;10;15;null;mm;13;LG;0
80;发展情况;TEXT;0;null;null;发展;null;null;13;null;0
81;缺陷状态;TEXT;0;null;null;未消除;null;null;13;null;0
82;面积;NUMBER;1;10;5;8;null;mm;14;LG;0
83;最大高度;NUMBER;1;20;10;15;null;mm;14;LG;0
84;发展情况;TEXT;0;null;null;未发展;null;null;14;null;0
85;缺陷状态;TEXT;0;null;null;消除中;null;null;14;null;0